word,pos,synonym
งู,n,โฆรวิส|เงี้ยว|ทีฆชาติ|เทียรฆชาติ|นาค|นาคา|นาคี|ผณิ|ผณิน|พาฬ|ภุชคะ|ภุชงค์|ภุชงคมะ|โภคิน|โภคี|วิษธร|สรีสฤบ|สัปปะ|อสรพิษ|อหิ|อาศิรพิษ|อาศิรวิษ|อาศีรพิษ|อาศีรวิษ|อุรคะ
หมู,n,จรุก|วราห์|วราหะ|ศูกร|สุกร
หมา,n,จอ|สุนัข|ศวา|ศวาน|สุวาน|โสณะ
แมว,n,ชมา|พิฬาร|มัชชาระ|วิฬาร|วิฬาร์|เหมียว
จระเข้,n,กุมภา|กุมภิล|กุมภีล์|ตะเข้|นักกะ|นักระ
เต่า,n,กริว|กัศยป|กูรมะ|จริว|จิตรจุล|ตริว|อันโด๊ก
ตะพาบ,n,กราว|กริว|จมูกหลอด|จราว|จริว|ตริว|ตะพาบน้ำ|ปลาฝา|อันโด๊ก
ดอกไม้,n,โกสุม|กุสุม|กุสุมา|กุสุมาลย์|บุษบา|บุษบง|บุษบัน|บุปผา|บุปผชาติ|บุหงา|ผกา|มาลย์|มาลา|มาลี|สุมาลี
บัว,n,กมล|กมลาศ|กมเลศ|กระมล|โกมล|จงกล|จงกลนี|ตาราไต|นิลุบล|นิโลตบล|นีรช|นีรชะ|บงกช|บุณฑริก|บุษกร|ปทุม|ปทุมา|ปัทม์|ปัทมา|สัตตบงกช|สัตตบรรณ|สโรชะ|สาโรช|วาริช|วารีช|อัมพุช|อุบล
หญ้า,n,เกลียง|ตฤณ|ตฤณชาติ|ติณ|ติณชาติ|ยาวัส|หริต
ต้นไม้,n,พฤกษ์|รุกข์|ตรุ|เฌอ|ทุม|ปาทป|บาทบ
ราชพฤกษ์,n,คูน|ลมแล้ง
กัลปพฤกษ์,n,กาลพฤกษ์|เปลือกขม
จั๋งไทย,n,จั๋งใต้
ขนุนปาน,n,ขนุนป่า
เมือง,n,ธานิน|ธานินทร์|ธานี|นคร|นครินทร์|นคเรศ|บุระ|บุรินทร์|บุรี|ปุระ|พารา
เมืองหลวง,n,กรุง|นครหลวง|พระนคร|ราชธานี
กษัตริย์,n,ขัตติยะ|บดี|บดินทร์|บพิตร|นฤบดี|ภูวไนย|ภูมินทร์|นฤบาล|นฤเบศร์|นฤบดี|นฤบดินทร์|บพิตร|พระเจ้าอยู่หัว|พระเจ้าแผ่นดิน|ในหลวง|พ่ออยู่หัว|เหนือหัว|ภูบดี|นรินทร์|นเรนทร์|นโรดม|นราธิป|ธเรศ|จักรพรรดิ์|ราชัน|ราชา|ราชาธิราช|ราช|ราเชนทร์|อดิศรภูวนาถ|ภูมิบาล|ภูบาล|ภูธเรศ|ภูนาถ|ภูนายก|ภูเนตุ|ภูบดินทร์|ภูเบศ|ธราธิบดี|ธราธิป|ธรณีศวร|ธรณิศ|ธรนิศร|ธรณิศวร์|นริศ|ธรณินทร์|อธิราช|อธิป|จักรี
หมอ,n,จีนแส|ซินแส|แพทย์|ภิษัช|ภิสัก|เวช|ไวทย์
โสเภณี,n,กะหรี่|คณิกา|นครโสภิณี|นครโสเภณี|นางกลางเมือง|นางโลม|แพศยา|เวศยา|เวสิ|เวสิยา|โสภิณี|หญิงขายบริการ|หญิงงามเมือง|หญิงนครโสภิณี|หญิงนครโสเภณี|หญิงหากิน|อีตัว
คน,n,ชน|นร|นรชาติ|นรา|นรากร|บุคคล|ผู้|มนุษย์|มรรตยะ|มรรตัย|มัจจะ|มัตตัย|มัตยะ|มานพ
ประชาชน,n,ชน|ชาวบ้าน|ชาวเมือง|ประชาชี|ประชาราษฎร์|ปั่ว|ฝุ่นเมือง|พลเมือง|พสก|พสกนิกร|ไพร่|ไพร่ฟ้า|มหาชน|ราษฎร|เลก
ศัตรู,n,ข้าศึก|ดัสกร|ปฏิปักษ์|ปรปักษ์|ปัจจามิตร|ปัจนึก|ไพรี|เวรี|ริปู|อริ
